"","Year","Partner.ISO","Reporter.ISO","Reporter.x","Partner.x","Import","Reporter.y","Partner.y","Export","DIF","Disc"
"195",2010,"LAO","IND","India","Lao People's Dem. Rep.",20.117157,"Lao People's Dem. Rep.","India",0.069097,0.996565270132355,20.04806
"196",2010,"LAO","JPN","Japan","Lao People's Dem. Rep.",37.734115,"Lao People's Dem. Rep.","Japan",26.855155,0.288305688367145,10.87896
"197",2010,"LAO","KHM","Cambodia","Lao People's Dem. Rep.",1.497643,"Lao People's Dem. Rep.","Cambodia",2.227133,-0.487092050642242,-0.72949
"198",2010,"LAO","KOR","Rep. of Korea","Lao People's Dem. Rep.",19.990368,"Lao People's Dem. Rep.","Rep. of Korea",0.79337,0.960312386445312,19.196998
"199",2010,"LAO","MMR","Myanmar","Lao People's Dem. Rep.",0.000402,"Lao People's Dem. Rep.","Myanmar",0.32325,-803.10447761194,-0.322848
"200",2010,"LAO","MYS","Malaysia","Lao People's Dem. Rep.",2.266558,"Lao People's Dem. Rep.","Malaysia",1.612212,0.288695899244581,0.654346
"201",2010,"LAO","NZL","New Zealand","Lao People's Dem. Rep.",0.17071,"Lao People's Dem. Rep.","New Zealand",0.003223,0.981120028117861,0.167487
"202",2010,"LAO","PHL","Philippines","Lao People's Dem. Rep.",0.011518,"Lao People's Dem. Rep.","Philippines",0.1716,-13.8984198645598,-0.160082
"203",2010,"LAO","RUS","Russian Federation","Lao People's Dem. Rep.",0.49479,"Lao People's Dem. Rep.","Russian Federation",0.402812,0.18589300511328,0.091978
"204",2010,"LAO","SGP","Singapore","Lao People's Dem. Rep.",2.824188,"Lao People's Dem. Rep.","Singapore",1.098331,0.611098482112381,1.725857
