"","Year","Partner.ISO","Reporter.ISO","Reporter.x","Partner.x","Import","Reporter.y","Partner.y","Export","DIF"
"200",2015,"LAO","MYS","Malaysia","Lao People's Dem. Rep.",2.874527,"Lao People's Dem. Rep.","Malaysia",6.082373,-1.11595612078091
"201",2015,"LAO","NZL","New Zealand","Lao People's Dem. Rep.",2.896883,"Lao People's Dem. Rep.","New Zealand",0.502321,0.8265994864135
"202",2015,"LAO","PHL","Philippines","Lao People's Dem. Rep.",0.163214,"Lao People's Dem. Rep.","Philippines",2.333994,-13.3002070900781
"203",2015,"LAO","RUS","Russian Federation","Lao People's Dem. Rep.",0.787655,"Lao People's Dem. Rep.","Russian Federation",0.19296,0.755019646926637
"204",2015,"LAO","SGP","Singapore","Lao People's Dem. Rep.",13.342127,"Lao People's Dem. Rep.","Singapore",5.816491,0.564050694465732
"205",2015,"LAO","THA","Thailand","Lao People's Dem. Rep.",1471.428818,"Lao People's Dem. Rep.","Thailand",1008.07716,0.314899132280009
"206",2015,"LAO","USA","USA","Lao People's Dem. Rep.",47.684162,"Lao People's Dem. Rep.","USA",23.726498,0.5024239285153
"207",2015,"LAO","VNM","Viet Nam","Lao People's Dem. Rep.",586.487392,"Lao People's Dem. Rep.","Viet Nam",537.773099,0.0830611086691528
"208",2015,"MMR","AUS","Australia","Myanmar",35.693489,"Myanmar","Australia",6.404577,0.820567358937648
"209",2015,"MMR","BRN","Brunei Darussalam","Myanmar",0.3067,"Myanmar","Brunei Darussalam",0.663233,-1.16248125203782
"210",2015,"MMR","CAN","Canada","Myanmar",21.49656,"Myanmar","Canada",7.624331,0.645323205201204
"211",2015,"MMR","CHN","China","Myanmar",5449.295046,"Myanmar","China",4511.614562,0.172073722579638
"212",2015,"MMR","HKG","China, Hong Kong SAR","Myanmar",64.314914,"Myanmar","China, Hong Kong SAR",275.63149,-3.28565433516711
"213",2015,"MMR","IDN","Indonesia","Myanmar",160.418362,"Myanmar","Indonesia",139.098498,0.132901643765693
